Component,Element,Property,Value,Location,Priority,Issue
"ActivityLog","spacing","padding","py-12","/Users/griffin/Projects/firefighterHub/src/components/ActivityLog.tsx:151","secondary",""
"ActivityLog","spacing","padding","py-12","/Users/griffin/Projects/firefighterHub/src/components/ActivityLog.tsx:157","secondary",""
"ActivityLog","spacing","padding","py-12","/Users/griffin/Projects/firefighterHub/src/components/ActivityLog.tsx:191","secondary",""
"ActivityLogModal","touchTarget","height","h-100","/Users/griffin/Projects/firefighterHub/src/components/ActivityLogModal.tsx:61","secondary",""
"BattalionChiefLogin","touchTarget","height","h-5","/Users/griffin/Projects/firefighterHub/src/components/BattalionChiefLogin.tsx:142","primary",""
"BattalionChiefLogin","","","","","",⚠️ Touch target below WCAG 44px: h-5 at /Users/griffin/Projects/firefighterHub/src/components/BattalionChiefLogin.tsx:142"
"Breadcrumb","spacing","margin","mb-6","/Users/griffin/Projects/firefighterHub/src/components/Breadcrumb.tsx:18","secondary",""
"Calendar","spacing","padding","px-6","/Users/griffin/Projects/firefighterHub/src/components/Calendar.tsx:200","secondary",""
"Calendar","spacing","padding","py-4","/Users/griffin/Projects/firefighterHub/src/components/Calendar.tsx:200","secondary",""
"CalendarSubscribeModal","touchTarget","height","h-4","/Users/griffin/Projects/firefighterHub/src/components/CalendarSubscribeModal.tsx:210","primary",""
"CalendarSubscribeModal","touchTarget","height","h-4","/Users/griffin/Projects/firefighterHub/src/components/CalendarSubscribeModal.tsx:243","primary",""
"CalendarSubscribeModal","touchTarget","height","h-4","/Users/griffin/Projects/firefighterHub/src/components/CalendarSubscribeModal.tsx:290","primary",""
"CalendarSubscribeModal","touchTarget","height","h-4","/Users/griffin/Projects/firefighterHub/src/components/CalendarSubscribeModal.tsx:295","primary",""
"CalendarSubscribeModal","","","","","",⚠️ Touch target below WCAG 44px: h-4 at /Users/griffin/Projects/firefighterHub/src/components/CalendarSubscribeModal.tsx:210"
"CalendarSubscribeModal","","","","","",⚠️ Touch target below WCAG 44px: h-4 at /Users/griffin/Projects/firefighterHub/src/components/CalendarSubscribeModal.tsx:243"
"CalendarSubscribeModal","","","","","",⚠️ Touch target below WCAG 44px: h-4 at /Users/griffin/Projects/firefighterHub/src/components/CalendarSubscribeModal.tsx:290"
"CalendarSubscribeModal","","","","","",⚠️ Touch target below WCAG 44px: h-4 at /Users/griffin/Projects/firefighterHub/src/components/CalendarSubscribeModal.tsx:295"
